symbol,n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,hodl_pct,tp_rate,sl_rate,timeout_rate,window_idx,span,beats_hodl
DOGE,4,25.0,0.0827,0.19,-3.063,0.589,-9.558,25.0,75.0,0.0,0,2026-02-14→2026-03-01,True
DOGE,6,33.33,0.6672,3.783,-3.063,4.14,-6.742,33.3,66.7,0.0,1,2026-02-19→2026-03-06,True
DOGE,9,33.33,0.8729,7.53,-5.242,4.634,1.874,33.3,66.7,0.0,2,2026-02-24→2026-03-11,True
DOGE,7,28.57,0.8334,5.445,-3.678,4.095,9.875,28.6,71.4,0.0,3,2026-03-01→2026-03-16,False
DOGE,5,20.0,0.1826,0.684,-4.005,1.131,3.811,20.0,80.0,0.0,4,2026-03-06→2026-03-21,False
DOGE,4,0.0,-1.3615,-5.336,-4.044,-1366.658,-0.834,0.0,100.0,0.0,5,2026-03-11→2026-03-26,False
DOGE,3,33.33,0.272,0.757,-0.924,2.556,-9.603,33.3,66.7,0.0,6,2026-03-16→2026-03-31,True
DOGE,3,33.33,0.27,0.751,-0.924,2.535,-4.617,33.3,66.7,0.0,7,2026-03-21→2026-04-05,True
DOGE,5,20.0,-0.1598,-0.863,-2.978,-1.851,3.331,20.0,80.0,0.0,8,2026-03-26→2026-04-10,False
DOGE,3,0.0,-1.0027,-2.978,-2.14,-178.773,3.915,0.0,100.0,0.0,9,2026-03-31→2026-04-15,False
DOGE,4,0.0,-1.075,-4.231,-3.216,-284.086,4.103,0.0,100.0,0.0,10,2026-04-05→2026-04-20,False
DOGE,3,0.0,-1.036,-3.076,-2.125,-216.984,5.325,0.0,100.0,0.0,11,2026-04-10→2026-04-25,False
DOGE,1,0.0,-0.971,-0.971,0.0,,13.741,0.0,100.0,0.0,12,2026-04-15→2026-04-30,False
DOGE,4,25.0,1.0962,4.189,-2.101,5.698,18.301,25.0,75.0,0.0,13,2026-04-20→2026-05-05,False
DOGE,5,40.0,1.466,7.251,-1.138,8.226,10.317,40.0,60.0,0.0,14,2026-04-25→2026-05-10,False
DOGE,4,50.0,1.0298,4.102,-0.821,9.842,4.847,50.0,50.0,0.0,15,2026-04-30→2026-05-15,False
