label,n,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,symbol,lookback,thr,hold,variant
,2122,46.04,-0.3096,-99.946,1923.743,-99.963,-2.009,BTCUSDT,50,2.0,12,classical
,2122,46.04,-0.8316,-100.0,1923.743,-100.0,-3.064,BTCUSDT,50,2.0,12,vol_norm
,1510,48.48,-0.4015,-99.931,1923.743,-99.942,-1.944,BTCUSDT,50,2.0,24,classical
,1510,48.48,-1.0421,-100.0,1923.743,-100.051,-2.548,BTCUSDT,50,2.0,24,vol_norm
,1086,49.82,-0.3609,-99.594,1923.743,-99.699,-1.309,BTCUSDT,50,2.0,48,classical
,1086,49.82,-1.0868,-100.0,1923.743,-100.0,-1.909,BTCUSDT,50,2.0,48,vol_norm
,1294,44.05,-0.4608,-99.862,1923.743,-99.9,-2.91,BTCUSDT,50,2.5,12,classical
,1294,44.05,-1.1356,-100.0,1923.743,-100.0,-3.9,BTCUSDT,50,2.5,12,vol_norm
,1084,46.4,-0.534,-99.879,1923.743,-99.897,-2.548,BTCUSDT,50,2.5,24,classical
,1084,46.4,-1.2913,-100.0,1923.743,-100.0,-3.123,BTCUSDT,50,2.5,24,vol_norm
,878,49.54,-0.5556,-99.802,1923.743,-99.86,-1.974,BTCUSDT,50,2.5,48,classical
,878,49.54,-1.6009,-100.0,1923.743,-100.0,-2.667,BTCUSDT,50,2.5,48,vol_norm
,771,40.73,-0.5865,-99.262,1923.743,-99.457,-3.69,BTCUSDT,50,3.0,12,classical
,771,40.73,-1.3304,-99.999,1923.743,-99.999,-4.653,BTCUSDT,50,3.0,12,vol_norm
,707,46.39,-0.5811,-99.096,1923.743,-99.408,-2.779,BTCUSDT,50,3.0,24,classical
,707,46.39,-1.5,-100.0,1923.743,-100.0,-3.418,BTCUSDT,50,3.0,24,vol_norm
,639,47.73,-0.5424,-98.712,1923.743,-99.171,-2.01,BTCUSDT,50,3.0,48,classical
,639,47.73,-1.6005,-100.0,1923.743,-100.0,-2.767,BTCUSDT,50,3.0,48,vol_norm
