label,n,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,symbol,year
BTCUSDT 2017,36,44.44,-0.9836,-36.422,218.331,-51.226,-2.602,BTCUSDT,2017
BTCUSDT 2018,69,28.99,-2.0478,-80.534,-72.63,-81.809,-4.962,BTCUSDT,2018
BTCUSDT 2019,87,43.68,-2.1312,-88.928,94.449,-91.222,-5.014,BTCUSDT,2019
BTCUSDT 2020,83,39.76,-2.4999,-91.616,303.003,-92.851,-5.543,BTCUSDT,2020
BTCUSDT 2021,72,38.89,-1.058,-58.84,59.395,-58.357,-3.54,BTCUSDT,2021
BTCUSDT 2022,71,40.85,-1.4265,-70.644,-64.544,-71.317,-3.7,BTCUSDT,2022
BTCUSDT 2023,93,49.46,-1.408,-81.762,155.804,-87.297,-3.116,BTCUSDT,2023
BTCUSDT 2024,92,43.48,-1.396,-77.366,120.307,-80.401,-4.226,BTCUSDT,2024
BTCUSDT 2025,79,51.9,-0.033,-15.054,-7.153,-35.595,-0.108,BTCUSDT,2025
BTCUSDT 2026,34,52.94,0.3944,10.503,-8.114,-30.658,1.683,BTCUSDT,2026
ETHUSDT 2017,35,51.43,0.0639,-4.73,143.354,-20.736,0.192,ETHUSDT,2017
ETHUSDT 2018,78,44.87,-2.7921,-91.714,-81.934,-91.665,-6.731,ETHUSDT,2018
ETHUSDT 2019,80,46.25,-2.1993,-87.43,-2.018,-87.978,-5.278,ETHUSDT,2019
ETHUSDT 2020,86,52.33,-1.212,-71.767,471.444,-69.248,-3.366,ETHUSDT,2020
ETHUSDT 2021,72,36.11,-1.3226,-67.434,400.801,-62.132,-3.867,ETHUSDT,2021
ETHUSDT 2022,73,53.42,-0.0839,-20.897,-67.872,-43.323,-0.238,ETHUSDT,2022
ETHUSDT 2023,85,49.41,-1.1846,-71.893,91.097,-76.99,-3.063,ETHUSDT,2023
ETHUSDT 2024,83,40.96,-2.2503,-87.013,45.405,-89.356,-7.347,ETHUSDT,2024
ETHUSDT 2025,83,46.99,-1.1527,-67.446,-11.656,-74.614,-3.685,ETHUSDT,2025
ETHUSDT 2026,35,68.57,0.6399,17.678,-24.175,-32.193,2.11,ETHUSDT,2026
LINKUSDT 2019,81,51.85,-0.299,-32.201,248.855,-48.05,-0.965,LINKUSDT,2019
LINKUSDT 2020,87,44.83,-1.1033,-68.663,537.056,-75.667,-3.265,LINKUSDT,2020
LINKUSDT 2021,84,51.19,0.4029,23.772,72.943,-28.722,1.407,LINKUSDT,2021
LINKUSDT 2022,81,49.38,-0.3358,-32.691,-72.083,-39.042,-1.168,LINKUSDT,2022
LINKUSDT 2023,75,49.33,0.2873,0.46,170.376,-47.328,0.771,LINKUSDT,2023
LINKUSDT 2024,84,50.0,-1.2398,-71.692,32.324,-77.104,-3.459,LINKUSDT,2024
LINKUSDT 2025,71,50.7,-0.7573,-48.751,-39.644,-56.892,-2.46,LINKUSDT,2025
LINKUSDT 2026,30,60.0,0.3383,5.708,-15.605,-22.203,1.173,LINKUSDT,2026
