symbol,n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,hodl_pct,tp_rate,sl_rate,timeout_rate,window,window_start,window_end
BTCUSDT,7,57.14,-0.4383,-3.13,-4.401,-4.866,6.954,28.6,28.6,42.9,0,2026-02-14 04:00:00+00:00,2026-03-16 03:00:00+00:00
BTCUSDT,6,33.33,-0.5933,-3.554,-3.768,-8.999,0.691,16.7,16.7,66.7,1,2026-03-16 04:00:00+00:00,2026-04-15 03:00:00+00:00
BTCUSDT,4,25.0,-0.2225,-0.916,-2.027,-3.557,9.375,25.0,0.0,75.0,2,2026-04-15 04:00:00+00:00,2026-05-15 03:00:00+00:00
ETHUSDT,10,50.0,-0.5495,-5.536,-7.999,-5.496,8.867,50.0,40.0,10.0,0,2026-02-14 04:00:00+00:00,2026-03-16 03:00:00+00:00
ETHUSDT,10,30.0,-0.7055,-6.951,-5.915,-8.602,2.894,30.0,30.0,40.0,1,2026-03-16 04:00:00+00:00,2026-04-15 03:00:00+00:00
ETHUSDT,4,75.0,0.3985,1.575,-1.555,6.458,-2.375,50.0,0.0,50.0,2,2026-04-15 04:00:00+00:00,2026-05-15 03:00:00+00:00
LINKUSDT,13,69.23,0.077,0.811,-7.798,0.857,9.729,61.5,23.1,15.4,0,2026-02-14 04:00:00+00:00,2026-03-16 03:00:00+00:00
LINKUSDT,10,50.0,-0.5043,-5.09,-5.029,-5.288,-6.974,40.0,40.0,20.0,1,2026-03-16 04:00:00+00:00,2026-04-15 03:00:00+00:00
LINKUSDT,9,77.78,0.4411,3.911,-2.732,5.068,15.419,77.8,22.2,0.0,2,2026-04-15 04:00:00+00:00,2026-05-15 03:00:00+00:00
DOGEUSDT,16,62.5,-0.17,-2.98,-5.269,-1.677,-0.827,62.5,37.5,0.0,0,2026-02-14 15:00:00+00:00,2026-03-16 14:00:00+00:00
DOGEUSDT,9,66.67,0.2612,2.297,-0.874,3.829,-6.106,44.4,11.1,44.4,1,2026-03-16 15:00:00+00:00,2026-04-15 14:00:00+00:00
DOGEUSDT,9,66.67,0.05,0.316,-6.862,0.556,19.959,55.6,22.2,22.2,2,2026-04-15 15:00:00+00:00,2026-05-15 14:00:00+00:00
