symbol,entry_ts,exit_ts,entry,exit,rsi_at_entry,rally_at_entry_pct,gross_pct,net_pct,reason,hold_bars_actual
BTCUSDT,2026-02-25 02:00:00,2026-02-25 05:00:00,65896.74,64908.28890000001,70.20537458163479,2.895,1.5,1.33,tp,4
BTCUSDT,2026-02-25 15:00:00,2026-02-25 17:00:00,66973.19,68647.51974999999,73.2362930410773,2.404,-2.5,-2.67,sl,3
BTCUSDT,2026-02-25 19:00:00,2026-02-25 22:00:00,69328.06,68288.1391,84.06292398940914,3.516,1.5,1.33,tp,4
BTCUSDT,2026-03-02 16:00:00,2026-03-03 03:00:00,69130.2,68377.94,69.76495647917405,4.175,1.088,0.918,timeout,12
BTCUSDT,2026-03-04 09:00:00,2026-03-04 15:00:00,71011.4,72786.68499999998,73.49124071831467,4.758,-2.5,-2.67,sl,7
BTCUSDT,2026-03-04 17:00:00,2026-03-05 04:00:00,73294.84,72815.7,79.15191240695185,2.741,0.654,0.484,timeout,12
BTCUSDT,2026-03-09 15:00:00,2026-03-10 02:00:00,69151.5,70272.01,67.57053550299693,2.283,-1.62,-1.79,timeout,12
BTCUSDT,2026-03-23 12:00:00,2026-03-23 23:00:00,70122.15,70906.45,65.07552788065016,2.618,-1.118,-1.288,timeout,12
BTCUSDT,2026-03-30 05:00:00,2026-03-30 16:00:00,67616.28,67368.1,66.6409358408531,2.016,0.367,0.197,timeout,12
BTCUSDT,2026-04-01 07:00:00,2026-04-01 13:00:00,69102.8,68066.258,67.37976339982879,2.119,1.5,1.33,tp,7
BTCUSDT,2026-04-06 00:00:00,2026-04-06 11:00:00,69034.18,69614.91,81.73739839462343,2.484,-0.841,-1.011,timeout,12
BTCUSDT,2026-04-07 23:00:00,2026-04-08 10:00:00,71514.1,71476.98,75.2245775142442,4.488,0.052,-0.118,timeout,12
BTCUSDT,2026-04-13 15:00:00,2026-04-13 22:00:00,72400.15,74210.15374999998,70.10324858731371,2.324,-2.5,-2.67,sl,8
BTCUSDT,2026-04-17 14:00:00,2026-04-18 01:00:00,77340.11,77218.07,73.5836977488211,2.059,0.158,-0.012,timeout,12
BTCUSDT,2026-04-22 03:00:00,2026-04-22 14:00:00,77604.7,79045.75,69.40228111666865,2.584,-1.857,-2.027,timeout,12
BTCUSDT,2026-05-04 04:00:00,2026-05-04 10:00:00,80316.3,79111.5555,74.7675225166851,2.224,1.5,1.33,tp,7
BTCUSDT,2026-05-14 16:00:00,2026-05-15 03:00:00,81301.22,81310.0,67.9869635481221,2.578,-0.011,-0.181,timeout,12
ETHUSDT,2026-02-25 02:00:00,2026-02-25 05:00:00,1918.34,1889.5648999999999,72.32895869959842,3.461,1.5,1.33,tp,4
ETHUSDT,2026-02-25 13:00:00,2026-02-25 15:00:00,1953.44,2002.2759999999998,73.11452719236108,2.258,-2.5,-2.67,sl,3
ETHUSDT,2026-02-25 17:00:00,2026-02-25 21:00:00,2046.34,2097.4984999999997,84.68536858090589,4.756,-2.5,-2.67,sl,5
ETHUSDT,2026-03-01 02:00:00,2026-03-01 08:00:00,2012.37,1982.18445,71.19460296298868,2.793,1.5,1.33,tp,7
