symbol,tf,threshold,n_trades,total_ret_pct,hodl_total_pct,win_rate,sharpe,max_dd_pct,avg_net_per_trade_pct
BTCUSDT,1h,0.0,69,-10.761,14.376,44.93,-1.501,-17.341,-0.1475
BTCUSDT,1h,0.002,69,-11.686,14.376,47.83,-1.57,-18.757,-0.161
BTCUSDT,1h,0.005,69,20.539,14.376,53.62,2.774,-13.177,0.2906
BTCUSDT,1h,0.01,68,7.382,14.376,47.06,1.157,-15.629,0.126
BTCUSDT,1h,0.015,65,8.51,14.376,53.85,1.341,-11.466,0.1475
BTCUSDT,1h,0.025,55,-10.742,14.376,47.27,-1.766,-16.631,-0.1864
BTCUSDT,4h,0.0,11,0.388,21.181,45.45,0.251,-7.9,0.0973
BTCUSDT,4h,0.002,11,-17.327,21.181,27.27,-7.014,-18.72,-1.6906
BTCUSDT,4h,0.005,11,-17.327,21.181,27.27,-7.014,-18.72,-1.6906
BTCUSDT,4h,0.01,11,-15.996,21.181,36.36,-5.279,-18.002,-1.5365
BTCUSDT,4h,0.015,11,-15.996,21.181,36.36,-5.279,-18.002,-1.5365
BTCUSDT,4h,0.025,10,-12.497,21.181,40.0,-4.43,-14.79,-1.2907
ETHUSDT,1h,0.0,69,-10.904,9.241,56.52,-0.967,-20.231,-0.1328
ETHUSDT,1h,0.002,69,-7.553,9.241,57.97,-0.568,-21.185,-0.0787
ETHUSDT,1h,0.005,69,13.667,9.241,55.07,1.538,-17.159,0.2238
ETHUSDT,1h,0.01,66,18.457,9.241,56.06,2.03,-16.87,0.2949
ETHUSDT,1h,0.015,64,-4.654,9.241,53.12,-0.251,-16.433,-0.0364
ETHUSDT,1h,0.025,48,-10.845,9.241,45.83,-1.273,-20.307,-0.196
ETHUSDT,4h,0.0,11,-17.224,13.0,36.36,-3.373,-16.471,-1.608
ETHUSDT,4h,0.002,11,-17.224,13.0,36.36,-3.373,-16.471,-1.608
ETHUSDT,4h,0.005,11,-17.224,13.0,36.36,-3.373,-16.471,-1.608
ETHUSDT,4h,0.01,11,-17.224,13.0,36.36,-3.373,-16.471,-1.608
ETHUSDT,4h,0.015,11,-20.341,13.0,36.36,-4.721,-16.2,-1.9715
ETHUSDT,4h,0.025,10,-15.725,13.0,40.0,-4.284,-16.807,-1.6354
LINKUSDT,1h,0.0,69,8.422,12.837,52.17,1.105,-13.288,0.151
LINKUSDT,1h,0.002,69,12.794,12.837,50.72,1.525,-11.12,0.2083
LINKUSDT,1h,0.005,69,12.605,12.837,52.17,1.46,-12.525,0.209
LINKUSDT,1h,0.01,68,40.176,12.837,57.35,3.454,-13.15,0.5418
LINKUSDT,1h,0.015,65,35.319,12.837,56.92,3.154,-15.971,0.5142
LINKUSDT,1h,0.025,57,33.076,12.837,61.4,3.375,-11.854,0.5504
LINKUSDT,4h,0.0,11,-7.387,21.719,45.45,-1.054,-18.437,-0.5707
LINKUSDT,4h,0.002,11,-7.387,21.719,45.45,-1.054,-18.437,-0.5707
LINKUSDT,4h,0.005,11,-2.489,21.719,54.55,-0.289,-15.45,-0.1354
LINKUSDT,4h,0.01,11,-2.489,21.719,54.55,-0.289,-15.45,-0.1354
LINKUSDT,4h,0.015,11,-9.371,21.719,54.55,-2.045,-16.85,-0.8227
LINKUSDT,4h,0.025,11,-6.329,21.719,36.36,-1.416,-14.06,-0.5333
