symbol,tf,bucket,n,mean_fwd_ret_pct,follow_residual_pct,revert_residual_pct,fwd_win_rate_long,lo_abs_res,hi_abs_res
BTCUSDT,1h,|res| < p50,828,0.254,-0.027,0.027,57.73,0.0,0.0052
BTCUSDT,1h,p50 ≤ |res| < p75,414,0.157,-0.182,0.182,52.9,0.0052,0.0096
BTCUSDT,1h,p75 ≤ |res| < p90,248,0.233,-0.225,0.225,52.42,0.0096,0.0152
BTCUSDT,1h,p90 ≤ |res| < p95,83,0.197,-0.204,0.204,49.4,0.0152,0.0192
BTCUSDT,1h,|res| ≥ p95,83,-0.082,-0.043,0.043,36.14,0.0192,
BTCUSDT,4h,|res| < p50,130,1.307,0.469,-0.469,63.08,0.0,0.009
BTCUSDT,4h,p50 ≤ |res| < p75,65,1.904,0.17,-0.17,84.62,0.009,0.0162
BTCUSDT,4h,p75 ≤ |res| < p90,39,1.213,-0.777,0.777,64.1,0.0162,0.0281
BTCUSDT,4h,p90 ≤ |res| < p95,13,1.611,0.577,-0.577,69.23,0.0281,0.0369
BTCUSDT,4h,|res| ≥ p95,13,0.274,0.274,-0.274,53.85,0.0369,
ETHUSDT,1h,|res| < p50,828,0.303,-0.23,0.23,56.04,0.0,0.006
ETHUSDT,1h,p50 ≤ |res| < p75,414,0.208,-0.362,0.362,54.11,0.006,0.0116
ETHUSDT,1h,p75 ≤ |res| < p90,248,0.051,-0.27,0.27,49.19,0.0116,0.0193
ETHUSDT,1h,p90 ≤ |res| < p95,83,-0.271,-0.311,0.311,34.94,0.0193,0.0262
ETHUSDT,1h,|res| ≥ p95,83,-0.209,-0.146,0.146,43.37,0.0262,
ETHUSDT,4h,|res| < p50,130,1.267,0.163,-0.163,61.54,0.0,0.0119
ETHUSDT,4h,p50 ≤ |res| < p75,65,0.32,-1.004,1.004,50.77,0.0119,0.0213
ETHUSDT,4h,p75 ≤ |res| < p90,39,0.282,-1.372,1.372,51.28,0.0213,0.0376
ETHUSDT,4h,p90 ≤ |res| < p95,13,1.894,-1.303,1.303,61.54,0.0376,0.0498
ETHUSDT,4h,|res| ≥ p95,13,0.046,0.046,-0.046,46.15,0.0498,
LINKUSDT,1h,|res| < p50,828,0.285,-0.021,0.021,54.11,0.0,0.0073
LINKUSDT,1h,p50 ≤ |res| < p75,414,0.34,-0.592,0.592,55.8,0.0073,0.0134
LINKUSDT,1h,p75 ≤ |res| < p90,248,0.31,-0.261,0.261,57.26,0.0134,0.0201
LINKUSDT,1h,p90 ≤ |res| < p95,83,-0.203,-0.788,0.788,46.99,0.0201,0.0275
LINKUSDT,1h,|res| ≥ p95,83,-0.716,-0.464,0.464,33.73,0.0275,
LINKUSDT,4h,|res| < p50,130,1.752,0.061,-0.061,59.23,0.0,0.0152
LINKUSDT,4h,p50 ≤ |res| < p75,65,1.592,0.276,-0.276,58.46,0.0152,0.028
LINKUSDT,4h,p75 ≤ |res| < p90,39,0.94,-0.628,0.628,53.85,0.028,0.0404
LINKUSDT,4h,p90 ≤ |res| < p95,13,0.995,-0.225,0.225,69.23,0.0404,0.0522
LINKUSDT,4h,|res| ≥ p95,13,-0.974,-0.956,0.956,30.77,0.0522,
