symbol,threshold_pct,n_windows,p_pred_up,p_real_up,p_pred_dn,p_real_dn,precision_up,precision_dn,recall_up,recall_dn
BTCUSDT,0.5,200,37.5,82.0,78.5,76.0,84.0,77.07,38.41,79.61
BTCUSDT,1.0,200,26.5,65.5,65.5,52.0,67.92,52.67,27.48,66.35
BTCUSDT,2.0,200,16.5,35.0,54.5,29.0,30.3,30.28,14.29,56.9
BTCUSDT,5.0,200,3.0,5.0,12.0,0.5,0.0,4.17,0.0,100.0
ETHUSDT,0.5,200,53.0,84.0,79.5,82.5,86.79,80.5,54.76,77.58
ETHUSDT,1.0,200,33.5,69.0,57.5,66.5,71.64,71.3,34.78,61.65
ETHUSDT,2.0,200,14.5,41.5,40.5,38.0,55.17,50.62,19.28,53.95
ETHUSDT,5.0,200,7.0,10.5,13.5,6.0,21.43,18.52,14.29,41.67
LINKUSDT,0.5,200,59.0,85.0,78.5,85.0,88.98,84.71,61.76,78.24
LINKUSDT,1.0,200,39.5,71.5,56.5,64.5,75.95,70.8,41.96,62.02
LINKUSDT,2.0,200,29.0,45.5,44.5,40.0,48.28,49.44,30.77,55.0
LINKUSDT,5.0,200,10.5,13.0,14.5,6.0,23.81,6.9,19.23,16.67
