symbol,variant,lookback,thr,hold,n_trades,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,avg_size
BTCUSDT,classical,100,2.5,24,20,60.0,0.6663,13.947,19.34,-2.032,8.189,1.0
BTCUSDT,classical,100,2.5,12,26,61.54,0.293,7.605,19.34,-3.946,5.313,1.0
BTCUSDT,classical,100,2.0,24,28,60.71,0.3463,9.863,19.34,-3.295,4.651,1.0
BTCUSDT,classical,100,1.5,24,46,52.17,0.3938,18.623,19.34,-6.39,3.546,1.0
BTCUSDT,classical,100,2.0,12,46,54.35,0.1517,6.757,19.34,-6.292,2.954,1.0
BTCUSDT,classical,100,1.5,12,72,56.94,0.1514,10.261,19.34,-6.096,2.3,1.0
BTCUSDT,classical,20,1.5,24,72,54.17,0.2116,13.965,19.34,-11.534,1.642,1.0
BTCUSDT,classical,20,2.0,24,59,50.85,0.0688,2.239,19.34,-15.409,0.52,1.0
BTCUSDT,classical,50,2.0,12,59,47.46,-0.04,-3.02,19.34,-10.613,-0.694,1.0
BTCUSDT,classical,50,2.0,24,43,51.16,-0.1975,-8.967,19.34,-15.121,-1.838,1.0
BTCUSDT,classical,50,1.5,24,60,45.0,-0.2091,-12.936,19.34,-17.456,-1.908,1.0
BTCUSDT,classical,20,1.5,12,109,45.87,-0.1839,-19.51,19.34,-26.122,-2.865,1.0
BTCUSDT,classical,50,2.5,24,29,37.93,-0.3068,-8.944,19.34,-10.146,-3.252,1.0
BTCUSDT,classical,50,1.5,12,98,48.98,-0.184,-17.439,19.34,-22.773,-3.286,1.0
BTCUSDT,classical,20,2.5,24,43,39.53,-0.4278,-17.78,19.34,-23.807,-3.519,1.0
BTCUSDT,classical,20,2.0,12,77,49.35,-0.2514,-18.656,19.34,-26.535,-3.738,1.0
BTCUSDT,classical,50,2.5,12,33,42.42,-0.2484,-8.257,19.34,-12.531,-4.182,1.0
BTCUSDT,classical,20,2.5,12,51,45.1,-0.2822,-14.107,19.34,-22.096,-4.286,1.0
BTCUSDT,kronos_gated,100,2.5,12,18,66.67,0.548,10.227,19.34,-1.507,13.517,1.0
BTCUSDT,kronos_gated,100,2.5,24,15,80.0,0.9389,14.892,19.34,-1.381,12.749,1.0
BTCUSDT,kronos_gated,100,2.0,24,22,68.18,0.34,7.548,19.34,-2.951,4.834,1.0
BTCUSDT,kronos_gated,100,2.0,12,37,54.05,0.1536,5.588,19.34,-3.392,3.584,1.0
