symbol,regime,direction,n,win_rate,avg_net_pct,total_ret_pct,sharpe
BTCUSDT,BULL,ALL,215,35.81,-2.274,-99.638,-5.895
BTCUSDT,BULL,LONG,22,45.45,-0.9885,-22.527,-3.355
BTCUSDT,BULL,SHORT,193,34.72,-2.4206,-99.533,-6.142
BTCUSDT,BEAR,ALL,157,46.5,-0.8807,-84.259,-2.294
BTCUSDT,BEAR,LONG,140,46.43,-0.9431,-83.138,-2.338
BTCUSDT,BEAR,SHORT,17,47.06,-0.3671,-6.644,-2.6
BTCUSDT,SIDEWAYS,ALL,343,46.06,-1.0892,-99.102,-2.849
BTCUSDT,SIDEWAYS,LONG,176,47.73,-1.151,-91.456,-3.266
BTCUSDT,SIDEWAYS,SHORT,167,44.31,-1.024,-89.49,-2.489
ETHUSDT,BULL,ALL,228,45.18,-1.8109,-99.197,-4.78
ETHUSDT,BULL,LONG,30,73.33,0.6302,6.601,1.429
ETHUSDT,BULL,SHORT,198,40.91,-2.1807,-99.247,-5.982
ETHUSDT,BEAR,ALL,180,50.0,-0.9154,-88.111,-2.488
ETHUSDT,BEAR,LONG,160,48.12,-1.199,-90.837,-3.123
ETHUSDT,BEAR,SHORT,20,65.0,1.3534,29.754,8.84
ETHUSDT,SIDEWAYS,ALL,301,48.17,-1.2807,-98.996,-3.704
ETHUSDT,SIDEWAYS,LONG,147,47.62,-1.2253,-89.027,-3.369
ETHUSDT,SIDEWAYS,SHORT,154,48.7,-1.3335,-90.852,-4.069
LINKUSDT,BULL,ALL,216,48.61,-0.6695,-86.262,-1.898
LINKUSDT,BULL,LONG,30,50.0,0.8106,22.609,3.036
LINKUSDT,BULL,SHORT,186,48.39,-0.9082,-88.795,-2.502
LINKUSDT,BEAR,ALL,196,50.51,-0.1785,-48.847,-0.604
LINKUSDT,BEAR,LONG,173,50.87,-0.2669,-53.235,-0.881
LINKUSDT,BEAR,SHORT,23,47.83,0.4866,9.383,2.117
LINKUSDT,SIDEWAYS,ALL,179,51.4,-0.3198,-59.952,-1.005
LINKUSDT,SIDEWAYS,LONG,75,54.67,0.5225,29.93,1.698
LINKUSDT,SIDEWAYS,SHORT,104,49.04,-0.9273,-69.177,-2.878
