n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,tp_rate,sl_rate,timeout_rate,rally_lb,rally_thr,rsi_thr,tp_pct,sl_pct,hold_bars,symbol
82,52.44,-0.1584,-12.557,-16.377,-3.016,39.0,24.4,36.6,4,1.0,55,1.0,1.5,6,BTCUSDT
81,55.56,-0.1822,-14.183,-16.803,-3.077,50.6,32.1,17.3,4,1.0,55,1.0,1.5,12,BTCUSDT
79,54.43,-0.2701,-19.709,-22.321,-4.242,53.2,41.8,5.1,4,1.0,55,1.0,1.5,24,BTCUSDT
74,56.76,-0.1413,-10.384,-14.102,-2.334,41.9,10.8,47.3,4,1.0,55,1.0,2.5,6,BTCUSDT
69,65.22,-0.142,-9.907,-12.972,-2.021,58.0,14.5,27.5,4,1.0,55,1.0,2.5,12,BTCUSDT
63,65.08,-0.2058,-12.776,-16.569,-2.671,63.5,20.6,15.9,4,1.0,55,1.0,2.5,24,BTCUSDT
73,54.79,-0.1964,-13.876,-17.725,-2.99,39.7,2.7,57.5,4,1.0,55,1.0,4.0,6,BTCUSDT
66,62.12,-0.2401,-15.341,-17.926,-2.999,56.1,7.6,36.4,4,1.0,55,1.0,4.0,12,BTCUSDT
56,62.5,-0.3675,-19.365,-22.629,-3.954,58.9,14.3,26.8,4,1.0,55,1.0,4.0,24,BTCUSDT
78,44.87,-0.1659,-12.573,-18.195,-2.852,24.4,25.6,50.0,4,1.0,55,1.5,1.5,6,BTCUSDT
77,46.75,-0.1852,-13.864,-18.071,-2.734,32.5,36.4,31.2,4,1.0,55,1.5,1.5,12,BTCUSDT
72,47.22,-0.2279,-15.797,-21.632,-2.992,44.4,48.6,6.9,4,1.0,55,1.5,1.5,24,BTCUSDT
71,52.11,-0.124,-8.996,-14.424,-1.809,28.2,12.7,59.2,4,1.0,55,1.5,2.5,6,BTCUSDT
66,56.06,-0.1592,-10.681,-15.767,-1.985,37.9,16.7,45.5,4,1.0,55,1.5,2.5,12,BTCUSDT
55,56.36,-0.2127,-11.801,-18.047,-2.329,50.9,25.5,23.6,4,1.0,55,1.5,2.5,24,BTCUSDT
70,51.43,-0.1266,-9.097,-14.805,-1.754,28.6,2.9,68.6,4,1.0,55,1.5,4.0,6,BTCUSDT
63,55.56,-0.174,-11.217,-15.513,-1.955,41.3,7.9,50.8,4,1.0,55,1.5,4.0,12,BTCUSDT
50,54.0,-0.3777,-18.075,-22.486,-3.61,44.0,16.0,40.0,4,1.0,55,1.5,4.0,24,BTCUSDT
77,42.86,-0.1822,-13.512,-20.177,-3.135,9.1,24.7,66.2,4,1.0,55,2.0,1.5,6,BTCUSDT
75,45.33,-0.1485,-11.188,-17.299,-2.053,18.7,36.0,45.3,4,1.0,55,2.0,1.5,12,BTCUSDT
68,44.12,-0.1154,-8.399,-17.202,-1.339,38.2,48.5,13.2,4,1.0,55,2.0,1.5,24,BTCUSDT
