symbol,fold,train_n,train_total_pct,train_sharpe,test_n,test_total_pct,test_sharpe
BTCUSDT,1,6,6.983,10.837,4,-3.592,-12.94
BTCUSDT,2,4,3.362,3238420445437623.5,0,0.0,
BTCUSDT,3,9,7.411,7.731,0,0.0,
ETHUSDT,1,34,9.517,3.601,14,-11.98,-8.916
ETHUSDT,2,11,9.201,9.885,1,1.33,
ETHUSDT,3,22,8.342,4.99,1,0.83,
LINKUSDT,1,12,7.078,8.53,6,1.935,4.458
LINKUSDT,2,12,24.83,18.039,3,1.687,6.381
LINKUSDT,3,21,13.057,10.62,7,-4.291,-5.063
DOGEUSDT,1,55,9.711,1.852,24,-8.549,-4.279
DOGEUSDT,2,18,14.325,54.613,6,-0.126,-0.034
DOGEUSDT,3,23,5.001,3.187,5,0.602,1.774
