symbol,strategy,interval,full_ret_pct,full_sharpe,full_calmar,full_max_dd,full_trades,full_wr,oos_n,oos_ret_pct,oos_sharpe,oos_pnl_usd,passes
BTC,regime_momentum,1h,-9.2180,-4.2368,-0.9522,9.6802,370,27.30,100,-687.8000,-1.0476,-171.36,0
BTC,ema_crossover,1h,-8.8680,-2.3150,-0.8401,10.5557,61,36.07,15,-318.0700,-0.9040,-114.17,0
BTC,vol_breakout,1h,-0.1787,-0.7462,-0.4665,0.3830,5,40.00,1,-4.4100,0.0000,-0.71,0
BTC,orb_session,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,turtle_donchian,1h,-4.3739,-2.0296,-0.7988,5.4757,38,21.05,11,163.1700,0.8443,56.11,0
BTC,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,mean_reversion,1h,-2.3880,-1.9298,-0.7480,3.1924,71,30.99,20,-24.6600,-0.1227,-7.87,0
BTC,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,trend_pullback,1h,-11.9467,-8.4855,-0.9876,12.0965,315,42.22,93,-1844.5000,-3.0046,-414.71,0
BTC,slow_drift_follow,1h,-3.3115,-6.1291,-0.9391,3.5262,282,34.04,80,-1642.5000,-3.4347,-159.90,0
BTC,range_breakout,1h,-2.5154,-2.7478,-0.8903,2.8252,180,41.67,49,112.0300,0.1833,10.68,0
BTC,rsi2_connors,1h,-11.6131,-9.5558,-0.9991,11.6231,566,51.41,171,-2740.5000,-3.1199,-498.15,0
ETH,regime_momentum,1h,-6.7774,-2.2200,-0.8118,8.3491,338,33.43,97,-66.9600,-0.0665,19.42,0
ETH,ema_crossover,1h,-9.1303,-1.7544,-0.9015,10.1277,53,43.40,20,-498.2400,-1.5034,-174.20,0
ETH,vol_breakout,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,orb_session,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,turtle_donchian,1h,-10.8819,-3.7519,-0.9713,11.2035,46,8.70,16,-1290.1300,-5.7801,-439.34,0
ETH,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,mean_reversion,1h,-3.1179,-2.0265,-0.8094,3.8523,78,29.49,21,669.3900,2.4119,193.30,0
ETH,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,trend_pullback,1h,-10.3203,-5.3339,-0.9576,10.7769,317,43.22,89,-1437.7400,-1.9533,-329.32,0
ETH,slow_drift_follow,1h,-4.4013,-5.6732,-0.9365,4.6998,337,32.94,99,-1641.8600,-2.1158,-158.29,0
ETH,range_breakout,1h,-2.6392,-2.1137,-0.9573,2.7569,158,41.77,47,-903.1200,-1.0869,-88.75,0
ETH,rsi2_connors,1h,-14.0615,-8.5446,-0.9988,14.0789,556,57.01,180,-2201.4600,-1.7751,-388.48,0
SOL,regime_momentum,1h,-17.0023,-5.5595,-0.9754,17.4316,392,32.65,122,-2640.2500,-2.8132,-702.40,0
SOL,ema_crossover,1h,-6.9784,-1.2022,-0.6830,10.2167,63,30.16,16,-3002.1300,-7.8871,-1080.29,0
SOL,vol_breakout,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,orb_session,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,turtle_donchian,1h,-10.7726,-3.6047,-0.9487,11.3552,46,10.87,17,-1941.3200,-11.0332,-663.43,0
SOL,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,mean_reversion,1h,-1.9012,-1.0248,-0.6871,2.7668,61,26.23,12,-205.0900,-1.3520,-62.11,0
SOL,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,trend_pullback,1h,-15.5691,-7.4783,-0.9867,15.7783,358,42.46,108,-2432.9400,-2.4340,-526.75,0
SOL,slow_drift_follow,1h,-5.0818,-6.1431,-0.9772,5.2002,331,34.74,94,280.3900,0.3582,25.97,0
SOL,range_breakout,1h,-4.3402,-3.3325,-0.9375,4.6295,170,37.06,51,-990.3100,-1.1862,-95.75,0
SOL,rsi2_connors,1h,-16.1866,-8.9644,-0.9862,16.4126,515,57.09,157,-3145.9500,-2.8048,-544.29,0
LINK,regime_momentum,1h,-16.0002,-5.2509,-0.9653,16.5757,364,29.67,108,-1616.1900,-2.0171,-402.57,0
LINK,ema_crossover,1h,-8.6832,-1.4663,-0.6971,12.4560,65,30.77,23,-1781.2700,-3.8531,-627.39,0
LINK,vol_breakout,1h,0.1249,1.1041,1.8479,0.0676,1,100.00,0,0.0000,0.0000,0.00,0
LINK,orb_session,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,turtle_donchian,1h,-12.1782,-4.0076,-0.9101,13.3812,50,10.00,19,-1329.6100,-5.0050,-448.87,0
LINK,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,mean_reversion,1h,-3.6490,-1.9567,-0.8218,4.4401,78,28.21,25,-179.8800,-0.6555,-54.38,0
LINK,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,trend_pullback,1h,-17.9312,-8.0135,-0.9427,19.0211,318,38.36,91,-2130.9700,-2.5966,-450.14,0
LINK,slow_drift_follow,1h,-5.6394,-6.5164,-0.9636,5.8521,342,32.75,90,-395.4700,-0.4716,-38.21,0
LINK,range_breakout,1h,-5.2292,-3.8872,-0.8894,5.8793,173,33.53,49,-2848.2800,-3.7095,-272.54,0
LINK,rsi2_connors,1h,-15.2288,-8.3283,-0.9992,15.2407,501,58.48,162,-4155.6400,-3.6399,-726.11,0
AVAX,regime_momentum,1h,-10.7765,-3.3151,-0.9956,10.8240,359,34.54,114,-1355.4800,-1.4779,-362.82,0
AVAX,ema_crossover,1h,-2.5945,-0.3938,-0.2709,9.5768,48,33.33,16,-3450.9700,-6.9614,-1307.81,0
AVAX,vol_breakout,1h,0.0531,0.6429,0.8506,0.0624,1,100.00,0,0.0000,0.0000,0.00,0
AVAX,orb_session,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,turtle_donchian,1h,-8.0065,-2.4924,-0.8904,8.9916,39,15.38,16,-1256.1200,-5.2483,-439.45,0
AVAX,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,mean_reversion,1h,-3.8665,-2.0126,-0.6706,5.7660,77,27.27,19,944.7900,2.7874,268.79,0
AVAX,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,trend_pullback,1h,-14.0910,-6.2299,-0.9813,14.3601,318,39.62,99,-3602.9200,-4.1443,-798.97,0
AVAX,slow_drift_follow,1h,-6.5265,-7.4972,-0.9990,6.5333,356,32.58,111,-1808.6700,-2.0536,-170.81,0
AVAX,range_breakout,1h,-3.9711,-2.9433,-0.9427,4.2124,157,40.13,45,-2294.7800,-2.7614,-222.39,0
